episode,reward,best_reward,epsilon,selected_action_q,selected_action_visits,selected_action
1,-2.39136187944684,-2.39136187944684,0.199,-2.39136187944684,1,"[""s0-n0"", ""s0-n4""]"
25,-1.1396816544270572,-1.061249748395641,0.17644404858976023,-1.1396816544270572,1,"[""s0-n0"", ""s1-n4""]"
50,-1.0565920946168732,-1.0565920946168732,0.15566251141372844,-1.0565920946168732,2,"[""s0-n0"", ""s1-n2""]"
75,-1.0565920946168732,-1.0565920946168732,0.13732861863744006,-1.0565920946168732,22,"[""s0-n0"", ""s1-n2""]"
100,-1.0565920946168732,-1.0565920946168732,0.12115408729814564,-1.0565920946168732,42,"[""s0-n0"", ""s1-n2""]"
125,-1.0565920946168732,-1.0565920946168732,0.10688458833041031,-1.0565920946168732,64,"[""s0-n0"", ""s1-n2""]"
150,-1.0565920946168732,-1.0565920946168732,0.09429574748433718,-1.0565920946168732,87,"[""s0-n0"", ""s1-n2""]"
175,-1.0565920946168732,-1.0565920946168732,0.0831896172546708,-1.0565920946168732,111,"[""s0-n0"", ""s1-n2""]"
200,-1.0565920946168732,-1.0565920946168732,0.07339156434523345,-1.0565920946168732,133,"[""s0-n0"", ""s1-n2""]"
225,-1.0565920946168732,-1.0565920946168732,0.06474752372704441,-1.0565920946168732,156,"[""s0-n0"", ""s1-n2""]"
250,-1.0565920946168732,-1.0565920946168732,0.057121576112806376,-1.0565920946168732,179,"[""s0-n0"", ""s1-n2""]"
275,-1.0565920946168732,-1.0565920946168732,0.0503938107558585,-1.0565920946168732,201,"[""s0-n0"", ""s1-n2""]"
300,-1.0565920946168732,-1.0565920946168732,0.04445843996814939,-1.0565920946168732,223,"[""s0-n0"", ""s1-n2""]"
