topology_model,node_count,controller_budget,algorithm,avg_latency_mean,avg_latency_std,runtime_ms_mean,runtime_ms_std,iterations_budget_mean,iterations_to_converge_mean,latency_runtime_product,latency_gain_vs_random_pct,efficiency_score,efficiency_rank,is_pareto_optimal
barabasi_albert,20,3,greedy_k_center,5.299499689384737,0.0,0.11044000275433064,0.007272074562714832,1.0,1.0,0.5852767602922246,16.980539987529102,0.12906703424031468,1,True
barabasi_albert,20,5,genetic,3.268581128742119,0.05072726469814479,149.33337999973446,15.930290966184282,50.0,36.2,488.1082677584078,34.448206976276616,0.1673759415329173,1,True
barabasi_albert,50,3,genetic,4.783888234695271,0.0,224.54681999515742,12.472909202286704,50.0,25.4,1074.2068903130705,30.05125902101664,0.04114953343128507,1,True
barabasi_albert,50,5,genetic,3.7250018383504675,0.0440220834971429,273.9085399894975,15.685817354393237,50.0,28.4,1020.3098150007708,37.12339359024665,0.0508172321520905,1,True
barabasi_albert,100,3,genetic,4.801812713758849,0.006475936972220149,380.126199987717,37.22287129248217,50.0,32.6,1825.2948199338582,29.960596862643886,0.015491426745772254,1,True
barabasi_albert,100,5,genetic,4.963616508330849,0.07309863419423299,479.38523998018354,34.4129586194222,50.0,38.0,2379.484491015785,34.806399065068035,0.021287864800064872,1,True
waxman,20,3,genetic,3.0808676455944077,0.0,109.81951997382566,6.793460688281039,50.0,4.4,338.3394059420683,27.403173518192553,0.3137154622985597,1,True
waxman,20,5,greedy_k_center,2.0539171014124666,0.0,0.5147000076249242,0.6436639478657161,1.0,1.0,1.0571511477579587,21.551199568963817,0.22006509507642716,1,True
waxman,50,3,genetic,7.4149688862008505,0.07907620998559138,209.2428999952972,34.08026490102267,50.0,22.0,1551.5295931235648,38.14685640642586,0.10345871963088131,1,True
waxman,50,5,genetic,6.236646677410435,0.08191139803675661,264.97959999833256,15.308353475095087,50.0,35.6,1652.5841419111468,42.73855750002045,0.13145066448258605,1,True
waxman,100,3,genetic,6.162103270960481,0.045739025659065215,352.87601999007165,36.44413593586586,50.0,42.4,2174.4584770243364,25.074869872065914,0.014545792572380157,1,True
waxman,100,5,genetic,4.231548731388019,0.10615370789783492,505.30099999159575,44.6581405929247,50.0,37.4,2138.2058054835343,26.01669981715564,0.019400867500252387,1,True
