timestamp_utc,algorithm,topology,topology_source,seed,k,placement,latency_l,reliability_r_avg,tau_runtime_seconds,tau_runtime_seconds_per_run,telemetry_mean_cpu_percent,telemetry_peak_rss_mb,telemetry_samples,telemetry_status,repeat_count,ga_population,ga_generations,ga_mutation_rate,ga_tournament_size,exhaustive_optimum_worst_case_nodes,exhaustive_optimum_worst_case_distance,first_hit_optimum_generation
2026-04-25T21:34:39.422755+00:00,greedy_k_center,Internet2,synthetic_fallback,2023,3,0;9;8,2.652251706954476,1.0,0.0022242690001803567,2.2242690001803566e-05,0.0,185.03125,1,ok,100,50,100,0.15,3,0;2;9,5.202940949940782,
2026-04-25T21:34:39.422768+00:00,genetic_algorithm,Internet2,synthetic_fallback,2023,3,1;3;4,2.490436503250052,1.0,3.8386656340007903,0.0383866563400079,75.475,185.2421875,4,ok,100,50,100,0.15,3,0;2;9,5.202940949940782,
