scenario,topology_model,node_count,controller_budget,trial,algorithm,avg_latency,runtime_ms,iterations_budget,iterations_to_converge,topology_seed,trial_seed,controllers
barabasi_albert_n20_k3,barabasi_albert,20,3,1,random,6.145081870088075,0.031100003980100155,1,1,1039,10180,n2;n18;n12
barabasi_albert_n20_k3,barabasi_albert,20,3,1,greedy_k_center,5.299499689384737,0.11399999493733048,1,1,1039,10180,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,1,kmeans,6.309439064863604,16.577299975324422,1,1,1039,10180,n6;n9;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,1,genetic,4.922756575660547,122.28950002463534,50,10,1039,10180,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,1,bandit_rl,5.29159226843399,377.0591000211425,300,7,1039,10180,n0;n1;n3
barabasi_albert_n20_k3,barabasi_albert,20,3,2,random,6.353087369096991,0.02659996971487999,1,1,1039,10311,n7;n8;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,2,greedy_k_center,5.299499689384737,0.10499998461455107,1,1,1039,10311,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,2,kmeans,6.309439064863604,17.938099976163357,1,1,1039,10311,n9;n6;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,2,genetic,4.922756575660547,99.25959998508915,50,25,1039,10311,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,2,bandit_rl,5.29159226843399,381.2450999976136,300,12,1039,10311,n0;n1;n3
barabasi_albert_n20_k3,barabasi_albert,20,3,3,random,6.0442859752606894,0.02519995905458927,1,1,1039,10442,n18;n2;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,3,greedy_k_center,5.299499689384737,0.10050000855699182,1,1,1039,10442,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,3,kmeans,6.309439064863604,17.34510000096634,1,1,1039,10442,n4;n6;n9
barabasi_albert_n20_k3,barabasi_albert,20,3,3,genetic,4.922756575660547,106.24529997585341,50,15,1039,10442,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,3,bandit_rl,5.156262250088036,384.4336000038311,300,72,1039,10442,n0;n10;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,4,random,8.060210996622938,0.02989999484270811,1,1,1039,10573,n19;n1;n9
barabasi_albert_n20_k3,barabasi_albert,20,3,4,greedy_k_center,5.299499689384737,0.11580000864341855,1,1,1039,10573,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,4,kmeans,6.309439064863604,17.70819997182116,1,1,1039,10573,n4;n6;n9
barabasi_albert_n20_k3,barabasi_albert,20,3,4,genetic,4.922756575660547,117.90010001277551,50,4,1039,10573,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,4,bandit_rl,5.187823073619277,388.55770003283396,300,38,1039,10573,n0;n18;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,5,random,5.314547467439119,0.027399975806474686,1,1,1039,10704,n15;n0;n10
barabasi_albert_n20_k3,barabasi_albert,20,3,5,greedy_k_center,5.299499689384737,0.11690001701936126,1,1,1039,10704,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,5,kmeans,6.309439064863604,18.199500045739114,1,1,1039,10704,n6;n9;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,5,genetic,4.922756575660547,135.82049997057766,50,8,1039,10704,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,5,bandit_rl,5.271220148200543,411.72649996588007,300,46,1039,10704,n0;n18;n3
barabasi_albert_n20_k5,barabasi_albert,20,5,1,random,4.905809585881622,0.03470003139227629,1,1,2036,20187,n4;n12;n15;n19;n14
barabasi_albert_n20_k5,barabasi_albert,20,5,1,greedy_k_center,4.514205625643053,0.22960000205785036,1,1,2036,20187,n0;n12;n19;n14;n13
barabasi_albert_n20_k5,barabasi_albert,20,5,1,kmeans,4.55148300703112,27.07040001405403,1,1,2036,20187,n3;n7;n10;n9;n16
