topology_model,node_count,controller_budget,algorithm,avg_latency_mean,avg_latency_std,runtime_ms_mean,runtime_ms_std,iterations_budget_mean,iterations_to_converge_mean,latency_runtime_product,latency_gain_vs_random_pct,efficiency_score,efficiency_rank,is_pareto_optimal
barabasi_albert,20,3,genetic,4.922756575660547,0.0,38.567800002056174,0.0,10.0,10.0,189.85989106888292,19.891114882900794,0.005815592751705881,1,True
barabasi_albert,20,3,greedy_k_center,5.299499689384737,0.0,0.20349999249447137,0.0,1.0,1.0,1.0784481470142473,13.760307813298809,0.13586764151046776,2,True
barabasi_albert,20,3,bandit_rl,5.547409055999338,0.0,554.8797000083141,0.0,50.0,20.0,3078.1446728163173,9.726035010175883,0.3089880342698628,3,False
barabasi_albert,20,3,random,6.145081870088075,0.0,0.042400002712383866,0.0,1.0,1.0,0.2605514879595553,0.0,0.44073726463871804,4,True
barabasi_albert,20,3,kmeans,6.309439064863604,0.0,3312.292900009197,0.0,1.0,1.0,20898.71021758838,-2.674613589373924,1.0,5,False
waxman,20,3,genetic,3.3928252322582217,0.0,37.80689999985043,0.0,10.0,2.0,128.2722042729559,40.85255350573214,0.06569004212393723,1,True
waxman,20,3,kmeans,4.06601805505825,0.0,36.55150000122376,0.0,1.0,1.0,148.61905894443746,29.116718695169936,0.20714133778821003,2,True
waxman,20,3,bandit_rl,4.728760636313316,0.0,287.31909999623895,0.0,50.0,12.0,1358.663250123184,17.563063944092093,0.7850432538858585,5,False
waxman,20,3,greedy_k_center,4.742889308570051,0.0,0.31429999216925353,0.0,1.0,1.0,1.4906900725432033,17.316757450496468,0.2884868995979691,3,True
waxman,20,3,random,5.736215903398348,0.0,0.0678000069456175,0.0,1.0,1.0,0.3889154780919695,0.0,0.5,4,True
