scenario,topology_model,node_count,controller_budget,trial,algorithm,avg_latency,runtime_ms,iterations_budget,iterations_to_converge,topology_seed,trial_seed,controllers
barabasi_albert_n20_k3,barabasi_albert,20,3,1,random,6.145081870088075,0.030399998649954796,1,1,1039,10180,n2;n18;n12
barabasi_albert_n20_k3,barabasi_albert,20,3,1,greedy_k_center,5.299499689384737,0.0973999995039776,1,1,1039,10180,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,1,kmeans,6.309439064863604,19.676299998536706,1,1,1039,10180,n6;n9;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,1,genetic,4.922756575660547,67.03730000299402,50,10,1039,10180,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,1,bandit_rl,5.29159226843399,299.12229999899864,300,55,1039,10180,n0;n1;n3
barabasi_albert_n20_k3,barabasi_albert,20,3,2,random,6.353087369096991,0.031100003980100155,1,1,1039,10311,n7;n8;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,2,greedy_k_center,5.299499689384737,0.08199999865610152,1,1,1039,10311,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,2,kmeans,6.309439064863604,14.724500011652708,1,1,1039,10311,n9;n6;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,2,genetic,4.922756575660547,68.51280000410043,50,25,1039,10311,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,2,bandit_rl,5.29159226843399,321.0460999980569,300,57,1039,10311,n0;n1;n3
barabasi_albert_n20_k3,barabasi_albert,20,3,3,random,6.0442859752606894,0.022899999748915434,1,1,1039,10442,n18;n2;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,3,greedy_k_center,5.299499689384737,0.08360001083929092,1,1,1039,10442,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,3,kmeans,6.309439064863604,14.796400006162003,1,1,1039,10442,n4;n6;n9
barabasi_albert_n20_k3,barabasi_albert,20,3,3,genetic,4.922756575660547,58.81869999575429,50,15,1039,10442,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,3,bandit_rl,5.156262250088036,318.90179999754764,300,29,1039,10442,n0;n10;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,4,random,8.060210996622938,0.02300000051036477,1,1,1039,10573,n19;n1;n9
barabasi_albert_n20_k3,barabasi_albert,20,3,4,greedy_k_center,5.299499689384737,0.09109999518841505,1,1,1039,10573,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,4,kmeans,6.309439064863604,16.322700001182966,1,1,1039,10573,n4;n6;n9
barabasi_albert_n20_k3,barabasi_albert,20,3,4,genetic,4.922756575660547,69.74429999536369,50,4,1039,10573,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,4,bandit_rl,5.187823073619277,327.13090001198,300,66,1039,10573,n0;n18;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,5,random,5.314547467439119,0.022500011255033314,1,1,1039,10704,n15;n0;n10
barabasi_albert_n20_k3,barabasi_albert,20,3,5,greedy_k_center,5.299499689384737,0.0833000085549429,1,1,1039,10704,n0;n14;n18
barabasi_albert_n20_k3,barabasi_albert,20,3,5,kmeans,6.309439064863604,18.454500008374453,1,1,1039,10704,n6;n9;n4
barabasi_albert_n20_k3,barabasi_albert,20,3,5,genetic,4.922756575660547,64.91420000384096,50,8,1039,10704,n0;n3;n6
barabasi_albert_n20_k3,barabasi_albert,20,3,5,bandit_rl,5.271220148200543,308.16469999263063,300,37,1039,10704,n0;n18;n3
barabasi_albert_n20_k5,barabasi_albert,20,5,1,random,4.905809585881622,0.02439999661874026,1,1,2036,20187,n4;n12;n15;n19;n14
barabasi_albert_n20_k5,barabasi_albert,20,5,1,greedy_k_center,4.514205625643053,0.1680999994277954,1,1,2036,20187,n0;n12;n19;n14;n13
barabasi_albert_n20_k5,barabasi_albert,20,5,1,kmeans,4.55148300703112,16.5182999917306,1,1,2036,20187,n3;n7;n10;n9;n16
barabasi_albert_n20_k5,barabasi_albert,20,5,1,genetic,3.323020435783178,111.41769999812823,50,26,2036,20187,n1;n10;n2;n3;n4
barabasi_albert_n20_k5,barabasi_albert,20,5,1,bandit_rl,3.608362239924574,315.5298000056064,300,10,2036,20187,n2;n4;n5;n7;n8
barabasi_albert_n20_k5,barabasi_albert,20,5,2,random,5.2767054924708825,0.025300003471784294,1,1,2036,20318,n12;n16;n18;n7;n6
barabasi_albert_n20_k5,barabasi_albert,20,5,2,greedy_k_center,4.514205625643053,0.17499999376013875,1,1,2036,20318,n0;n12;n19;n14;n13
barabasi_albert_n20_k5,barabasi_albert,20,5,2,kmeans,4.43427283046042,18.985000002430752,1,1,2036,20318,n12;n2;n7;n10;n16
barabasi_albert_n20_k5,barabasi_albert,20,5,2,genetic,3.2405971652316956,88.85430000373162,50,31,2036,20318,n10;n2;n3;n4;n6
barabasi_albert_n20_k5,barabasi_albert,20,5,2,bandit_rl,3.5244556590375367,321.80559998960234,300,13,2036,20318,n1;n11;n14;n4;n8
barabasi_albert_n20_k5,barabasi_albert,20,5,3,random,5.34276979019378,0.02580000727903098,1,1,2036,20449,n18;n11;n16;n15;n14
barabasi_albert_n20_k5,barabasi_albert,20,5,3,greedy_k_center,4.514205625643053,0.18449999333824962,1,1,2036,20449,n0;n12;n19;n14;n13
barabasi_albert_n20_k5,barabasi_albert,20,5,3,kmeans,4.708793396668296,19.06609999423381,1,1,2036,20449,n16;n0;n11;n7;n10
barabasi_albert_n20_k5,barabasi_albert,20,5,3,genetic,3.2405971652316956,88.03129999432713,50,39,2036,20449,n10;n2;n3;n4;n6
barabasi_albert_n20_k5,barabasi_albert,20,5,3,bandit_rl,3.323020435783178,339.71840000594966,300,42,2036,20449,n1;n10;n2;n3;n4
barabasi_albert_n20_k5,barabasi_albert,20,5,4,random,4.2209130827819425,0.02649999805726111,1,1,2036,20580,n5;n19;n16;n10;n4
barabasi_albert_n20_k5,barabasi_albert,20,5,4,greedy_k_center,4.514205625643053,0.18200000340584666,1,1,2036,20580,n0;n12;n19;n14;n13
barabasi_albert_n20_k5,barabasi_albert,20,5,4,kmeans,4.708793396668296,19.6804000006523,1,1,2036,20580,n16;n0;n11;n10;n7
barabasi_albert_n20_k5,barabasi_albert,20,5,4,genetic,3.215670441680848,85.52330000384245,50,42,2036,20580,n10;n2;n4;n6;n8
barabasi_albert_n20_k5,barabasi_albert,20,5,4,bandit_rl,3.454175272650827,326.7131999891717,300,35,2036,20580,n1;n10;n19;n3;n4
barabasi_albert_n20_k5,barabasi_albert,20,5,5,random,5.185089035430549,0.025000001187436283,1,1,2036,20711,n12;n16;n9;n13;n4
barabasi_albert_n20_k5,barabasi_albert,20,5,5,greedy_k_center,4.514205625643053,0.17529999604448676,1,1,2036,20711,n0;n12;n19;n14;n13
barabasi_albert_n20_k5,barabasi_albert,20,5,5,kmeans,4.55148300703112,17.717099995934404,1,1,2036,20711,n7;n3;n10;n16;n9
barabasi_albert_n20_k5,barabasi_albert,20,5,5,genetic,3.323020435783178,100.19970001303591,50,43,2036,20711,n1;n10;n2;n3;n4
barabasi_albert_n20_k5,barabasi_albert,20,5,5,bandit_rl,3.5441957516918863,309.15129999630153,300,27,2036,20711,n0;n14;n2;n5;n6
barabasi_albert_n50_k3,barabasi_albert,50,3,1,random,7.093822920524233,0.0281000102404505,1,1,3033,30194,n42;n6;n17
barabasi_albert_n50_k3,barabasi_albert,50,3,1,greedy_k_center,5.247703432221373,0.2218999870819971,1,1,3033,30194,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,1,kmeans,6.212114601088409,17.952299996977672,1,1,3033,30194,n10;n33;n48
barabasi_albert_n50_k3,barabasi_albert,50,3,1,genetic,4.783888234695271,159.2227999935858,50,36,3033,30194,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,1,bandit_rl,5.015122732709166,2046.4253999962239,300,42,3033,30194,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,2,random,6.354397006767532,0.02510000194888562,1,1,3033,30325,n23;n5;n22
barabasi_albert_n50_k3,barabasi_albert,50,3,2,greedy_k_center,5.247703432221373,0.21340000967029482,1,1,3033,30325,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,2,kmeans,6.212114601088409,17.76239999162499,1,1,3033,30325,n10;n33;n48
barabasi_albert_n50_k3,barabasi_albert,50,3,2,genetic,4.783888234695271,152.28100000240374,50,28,3033,30325,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,2,bandit_rl,5.015122732709166,2099.6249000017997,300,40,3033,30325,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,3,random,6.062836787069146,0.02649999805726111,1,1,3033,30456,n30;n41;n1
barabasi_albert_n50_k3,barabasi_albert,50,3,3,greedy_k_center,5.247703432221373,0.2322000073036179,1,1,3033,30456,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,3,kmeans,5.996160016774655,17.905400003655814,1,1,3033,30456,n48;n4;n43
barabasi_albert_n50_k3,barabasi_albert,50,3,3,genetic,4.783888234695271,150.42600000742823,50,25,3033,30456,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,3,bandit_rl,5.015122732709166,2071.6600000014296,300,50,3033,30456,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,4,random,6.65908757205592,0.023999993572942913,1,1,3033,30587,n33;n27;n38
barabasi_albert_n50_k3,barabasi_albert,50,3,4,greedy_k_center,5.247703432221373,0.20290000247769058,1,1,3033,30587,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,4,kmeans,6.212114601088409,19.799000001512468,1,1,3033,30587,n48;n10;n33
barabasi_albert_n50_k3,barabasi_albert,50,3,4,genetic,4.783888234695271,166.6243000072427,50,7,3033,30587,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,4,bandit_rl,5.015122732709166,2123.737499990966,300,42,3033,30587,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,5,random,8.025526484359647,0.02649999805726111,1,1,3033,30718,n30;n28;n32
barabasi_albert_n50_k3,barabasi_albert,50,3,5,greedy_k_center,5.247703432221373,0.22089999401941895,1,1,3033,30718,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,5,kmeans,6.212114601088409,18.459600003552623,1,1,3033,30718,n10;n33;n48
barabasi_albert_n50_k3,barabasi_albert,50,3,5,genetic,4.783888234695271,138.9027000113856,50,31,3033,30718,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,5,bandit_rl,5.015122732709166,2126.691400000709,300,38,3033,30718,n0;n2;n4
barabasi_albert_n50_k5,barabasi_albert,50,5,1,random,6.512991771907662,0.028099995688535273,1,1,4030,40201,n31;n45;n10;n41;n23
barabasi_albert_n50_k5,barabasi_albert,50,5,1,greedy_k_center,4.536691417976886,0.41059999784920365,1,1,4030,40201,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,1,kmeans,5.793439008166112,21.035800004028715,1,1,4030,40201,n3;n42;n7;n24;n49
barabasi_albert_n50_k5,barabasi_albert,50,5,1,genetic,3.764535490186593,213.9344000024721,50,28,4030,40201,n0;n2;n22;n3;n36
barabasi_albert_n50_k5,barabasi_albert,50,5,1,bandit_rl,4.216235507974963,2138.614700001199,300,36,4030,40201,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,2,random,6.335397522423694,0.06160000339150429,1,1,4030,40332,n18;n11;n32;n26;n41
barabasi_albert_n50_k5,barabasi_albert,50,5,2,greedy_k_center,4.536691417976886,0.4259999986970797,1,1,4030,40332,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,2,kmeans,5.99918997317445,19.533799990313128,1,1,4030,40332,n31;n24;n12;n41;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,2,genetic,3.6770472580362847,225.7380000082776,50,31,4030,40332,n0;n2;n21;n22;n3
barabasi_albert_n50_k5,barabasi_albert,50,5,2,bandit_rl,4.216235507974963,2110.3201000078116,300,46,4030,40332,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,3,random,6.232796854613415,0.026399997295811772,1,1,4030,40463,n37;n36;n49;n8;n39
barabasi_albert_n50_k5,barabasi_albert,50,5,3,greedy_k_center,4.536691417976886,0.42130000656470656,1,1,4030,40463,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,3,kmeans,5.58165649063311,18.966800009366125,1,1,4030,40463,n12;n31;n28;n18;n24
barabasi_albert_n50_k5,barabasi_albert,50,5,3,genetic,3.753681106839449,223.80920000432525,50,31,4030,40463,n0;n18;n2;n21;n3
barabasi_albert_n50_k5,barabasi_albert,50,5,3,bandit_rl,4.216235507974963,2197.2198999865213,300,45,4030,40463,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,4,random,5.909113299578967,0.026699999580159783,1,1,4030,40594,n38;n25;n23;n32;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,4,greedy_k_center,4.536691417976886,0.43060000461991876,1,1,4030,40594,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,4,kmeans,5.99918997317445,19.813899998553097,1,1,4030,40594,n28;n31;n24;n41;n12
barabasi_albert_n50_k5,barabasi_albert,50,5,4,genetic,3.6770472580362847,206.8098000017926,50,35,4030,40594,n0;n2;n21;n22;n3
barabasi_albert_n50_k5,barabasi_albert,50,5,4,bandit_rl,4.216235507974963,2158.1542000058107,300,38,4030,40594,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,5,random,4.631224764117689,0.03229999856557697,1,1,4030,40725,n7;n37;n0;n2;n35
barabasi_albert_n50_k5,barabasi_albert,50,5,5,greedy_k_center,4.536691417976886,0.45779999345541,1,1,4030,40725,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,5,kmeans,5.58165649063311,17.433200002415106,1,1,4030,40725,n24;n28;n18;n12;n31
barabasi_albert_n50_k5,barabasi_albert,50,5,5,genetic,3.752698078653725,234.5189999905415,50,17,4030,40725,n0;n12;n2;n21;n22
barabasi_albert_n50_k5,barabasi_albert,50,5,5,bandit_rl,4.216235507974963,2184.620599990012,300,42,4030,40725,n0;n2;n3;n4;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,1,random,7.8074566041289755,0.028399997972883284,1,1,5027,50208,n34;n42;n41
barabasi_albert_n100_k3,barabasi_albert,100,3,1,greedy_k_center,5.0996951913333,0.4754999972647056,1,1,5027,50208,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,1,kmeans,7.718023330118203,18.42529998975806,1,1,5027,50208,n97;n36;n29
barabasi_albert_n100_k3,barabasi_albert,100,3,1,genetic,4.8017053869683215,280.08389999740757,50,23,5027,50208,n0;n14;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,1,bandit_rl,5.025468523417563,9023.234299995238,300,69,5027,50208,n0;n6;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,2,random,6.558823504675013,0.028399997972883284,1,1,5027,50339,n31;n52;n4
barabasi_albert_n100_k3,barabasi_albert,100,3,2,greedy_k_center,5.0996951913333,0.4602999979397282,1,1,5027,50339,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,2,kmeans,7.718023330118203,18.656000000191852,1,1,5027,50339,n97;n36;n29
barabasi_albert_n100_k3,barabasi_albert,100,3,2,genetic,4.7928177046580265,280.8009000000311,50,32,5027,50339,n0;n3;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,2,bandit_rl,5.025468523417563,9162.621799987392,300,72,5027,50339,n0;n6;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,3,random,5.901224814306785,0.02849999873433262,1,1,5027,50470,n33;n3;n50
barabasi_albert_n100_k3,barabasi_albert,100,3,3,greedy_k_center,5.0996951913333,0.4896999889751896,1,1,5027,50470,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,3,kmeans,7.718023330118203,18.332400009967387,1,1,5027,50470,n36;n29;n97
barabasi_albert_n100_k3,barabasi_albert,100,3,3,genetic,4.8017053869683215,313.3354000019608,50,27,5027,50470,n0;n14;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,3,bandit_rl,4.886663710144038,8991.626299990457,300,8,5027,50470,n0;n56;n9
barabasi_albert_n100_k3,barabasi_albert,100,3,4,random,6.5193466939208236,0.027900008717551827,1,1,5027,50601,n93;n35;n83
barabasi_albert_n100_k3,barabasi_albert,100,3,4,greedy_k_center,5.0996951913333,0.48349999997299165,1,1,5027,50601,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,4,kmeans,7.718023330118203,18.158700011554174,1,1,5027,50601,n97;n36;n29
barabasi_albert_n100_k3,barabasi_albert,100,3,4,genetic,4.811129703231254,283.25320000294596,50,32,5027,50601,n0;n3;n33
barabasi_albert_n100_k3,barabasi_albert,100,3,4,bandit_rl,5.025468523417563,9030.167400007485,300,76,5027,50601,n0;n6;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,5,random,7.492514701538308,0.026400011847727,1,1,5027,50732,n41;n87;n16
barabasi_albert_n100_k3,barabasi_albert,100,3,5,greedy_k_center,5.0996951913333,0.45479999971576035,1,1,5027,50732,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,5,kmeans,7.231901153365036,17.767700002877973,1,1,5027,50732,n36;n29;n47
barabasi_albert_n100_k3,barabasi_albert,100,3,5,genetic,4.8017053869683215,422.6105000125244,50,49,5027,50732,n0;n14;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,5,bandit_rl,5.025468523417563,9364.680299986503,300,68,5027,50732,n0;n6;n8
barabasi_albert_n100_k5,barabasi_albert,100,5,1,random,9.075226827751466,0.02929999027401209,1,1,6024,60215,n77;n82;n28;n96;n42
barabasi_albert_n100_k5,barabasi_albert,100,5,1,greedy_k_center,5.926724339813768,0.8289999968837947,1,1,6024,60215,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,1,kmeans,7.147258474424154,23.2049000042025,1,1,6024,60215,n49;n46;n36;n2;n45
barabasi_albert_n100_k5,barabasi_albert,100,5,1,genetic,5.071556593180898,408.7989999970887,50,44,6024,60215,n17;n2;n22;n24;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,1,bandit_rl,5.5525434538509,9253.821499994956,300,55,6024,60215,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,2,random,7.600371606955265,0.03189999551977962,1,1,6024,60346,n73;n8;n67;n98;n40
barabasi_albert_n100_k5,barabasi_albert,100,5,2,greedy_k_center,5.926724339813768,0.9586000087438151,1,1,6024,60346,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,2,kmeans,7.147258474424154,20.934400003170595,1,1,6024,60346,n2;n36;n46;n49;n45
barabasi_albert_n100_k5,barabasi_albert,100,5,2,genetic,4.912809554144265,402.41900000546593,50,24,6024,60346,n0;n13;n17;n2;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,2,bandit_rl,5.5525434538509,9126.457300008042,300,50,6024,60346,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,3,random,6.7325017161621314,0.028399997972883284,1,1,6024,60477,n19;n56;n47;n66;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,3,greedy_k_center,5.926724339813768,0.9004000021377578,1,1,6024,60477,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,3,kmeans,6.091321325790659,21.988300009979866,1,1,6024,60477,n55;n36;n2;n46;n0
barabasi_albert_n100_k5,barabasi_albert,100,5,3,genetic,4.912809554144265,404.7505999915302,50,29,6024,60477,n0;n13;n17;n2;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,3,bandit_rl,5.5525434538509,9099.77680000884,300,60,6024,60477,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,4,random,7.115137233640935,0.036900004488416016,1,1,6024,60608,n61;n10;n32;n90;n21
barabasi_albert_n100_k5,barabasi_albert,100,5,4,greedy_k_center,5.926724339813768,0.8015000057639554,1,1,6024,60608,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,4,kmeans,7.147258474424154,23.525899989181198,1,1,6024,60608,n45;n36;n49;n2;n46
barabasi_albert_n100_k5,barabasi_albert,100,5,4,genetic,4.912809554144265,396.78189999540336,50,44,6024,60608,n0;n13;n17;n2;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,4,bandit_rl,5.5525434538509,9586.241500001051,300,52,6024,60608,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,5,random,7.545042608835758,0.03199999628122896,1,1,6024,60739,n66;n30;n10;n92;n93
barabasi_albert_n100_k5,barabasi_albert,100,5,5,greedy_k_center,5.926724339813768,0.9348999883513898,1,1,6024,60739,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,5,kmeans,7.147258474424154,19.721900011063553,1,1,6024,60739,n2;n49;n46;n36;n45
barabasi_albert_n100_k5,barabasi_albert,100,5,5,genetic,5.008097286040555,391.3016000005882,50,49,6024,60739,n0;n13;n2;n26;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,5,bandit_rl,5.5525434538509,9480.715199999395,300,11,6024,60739,n0;n1;n11;n3;n4
waxman_n20_k3,waxman,20,3,1,random,3.85748786080575,0.030499999411404133,1,1,7021,70222,n4;n2;n1
waxman_n20_k3,waxman,20,3,1,greedy_k_center,4.206864579280658,0.0855999969644472,1,1,7021,70222,n5;n6;n17
waxman_n20_k3,waxman,20,3,1,kmeans,4.003264558208601,15.627000000677072,1,1,7021,70222,n6;n5;n2
waxman_n20_k3,waxman,20,3,1,genetic,3.0808676455944077,80.88949999364559,50,2,7021,70222,n10;n2;n3
waxman_n20_k3,waxman,20,3,1,bandit_rl,3.1844558528494664,142.02329999534413,300,33,7021,70222,n10;n11;n6
waxman_n20_k3,waxman,20,3,2,random,3.4878171729884686,0.02510000194888562,1,1,7021,70353,n1;n17;n10
waxman_n20_k3,waxman,20,3,2,greedy_k_center,4.206864579280658,0.07609999738633633,1,1,7021,70353,n5;n6;n17
waxman_n20_k3,waxman,20,3,2,kmeans,4.003264558208601,15.956400005961768,1,1,7021,70353,n5;n2;n6
waxman_n20_k3,waxman,20,3,2,genetic,3.0808676455944077,69.78979999257717,50,3,7021,70353,n1;n10;n2
waxman_n20_k3,waxman,20,3,2,bandit_rl,3.2378918403505637,145.3561000089394,300,16,7021,70353,n11;n5;n9
waxman_n20_k3,waxman,20,3,3,random,5.053122056467484,0.03509999078232795,1,1,7021,70484,n7;n12;n8
waxman_n20_k3,waxman,20,3,3,greedy_k_center,4.206864579280658,0.08369999704882503,1,1,7021,70484,n5;n6;n17
waxman_n20_k3,waxman,20,3,3,kmeans,4.003264558208601,16.088599993963726,1,1,7021,70484,n6;n2;n5
waxman_n20_k3,waxman,20,3,3,genetic,3.0808676455944077,73.92840000102296,50,2,7021,70484,n1;n10;n2
waxman_n20_k3,waxman,20,3,3,bandit_rl,3.0808676455944077,145.40910000505392,300,72,7021,70484,n10;n11;n3
waxman_n20_k3,waxman,20,3,4,random,3.408399331398992,0.026599998818710446,1,1,7021,70615,n4;n5;n11
