topology_model,node_count,controller_budget,algorithm,baseline_algorithm,trials_algorithm,trials_baseline,latency_gain_vs_baseline_mean,latency_gain_ci95_low,latency_gain_ci95_high,runtime_penalty_vs_baseline_mean,runtime_penalty_ci95_low,runtime_penalty_ci95_high,latency_cliffs_delta_alg_vs_baseline,latency_cliffs_magnitude,runtime_cliffs_delta_alg_vs_baseline,runtime_cliffs_magnitude
barabasi_albert,20,3,bandit_rl,random,5,5,1.143744733946395,0.4173331920437151,2.0522967491575903,388.5763600235805,380.16870254359674,400.9676819993183,-1.0,large,1.0,large
barabasi_albert,20,3,genetic,random,5,5,1.460686160041015,0.7454465736744602,2.371402770348446,116.27496001310647,105.23541751608718,127.17147350369487,-1.0,large,1.0,large
barabasi_albert,20,3,greedy_k_center,random,5,5,1.0839430463168256,0.36870345995027076,1.9946596566242567,0.08240002207458019,0.07611950975842774,0.08828153193462639,-1.0,large,1.0,large
barabasi_albert,20,3,kmeans,random,5,5,0.07400367083795878,-0.641235915528596,0.9847202811453899,17.525600013323128,16.975006500142626,17.968374520423822,0.2,small,1.0,large
barabasi_albert,20,5,bandit_rl,random,5,5,1.4954155255341544,1.0803750567963584,1.8087761653992283,446.00949998712167,408.2918589832843,494.9916809904971,-1.0,large,1.0,large
barabasi_albert,20,5,genetic,random,5,5,1.7176762686096363,1.3136397573885146,2.0212121361200257,149.3025199859403,137.41269798774738,163.3826209921972,-1.0,large,1.0,large
barabasi_albert,20,5,greedy_k_center,random,5,5,0.47205177170870183,0.06805809924119188,0.7706022945089215,0.18267998239025474,0.17221798450918868,0.19349996058735996,-0.6,large,1.0,large
barabasi_albert,20,5,kmeans,random,5,5,0.3952922697799046,0.009547815695251316,0.7070575039503351,24.90137997083366,22.457616977917496,27.44435997446999,-0.6,large,1.0,large
barabasi_albert,50,3,bandit_rl,random,5,5,1.82401142144613,1.2835882992366887,2.4513816133492323,2728.0139200156555,2651.6616300333408,2808.2863139995607,-1.0,large,1.0,large
barabasi_albert,50,3,genetic,random,5,5,2.0552459194600248,1.5148227972505834,2.682616111363127,224.5130000053905,215.3658210055437,234.23156100179767,-1.0,large,1.0,large
barabasi_albert,50,3,greedy_k_center,random,5,5,1.5914307219339232,1.0510075997244819,2.2188009138370255,0.30640000477433205,0.21553447702899575,0.47710152430227026,-1.0,large,1.0,large
barabasi_albert,50,3,kmeans,random,5,5,0.6702104699296374,0.12978734772019607,1.2928452749857318,38.34231999935582,20.572695990849752,72.02871097193565,-0.68,large,1.0,large
barabasi_albert,50,5,bandit_rl,random,5,5,1.708069334553322,1.046032393545557,2.1696795806802625,2694.747119990643,2590.826517997484,2828.4699610067764,-1.0,large,1.0,large
barabasi_albert,50,5,genetic,random,5,5,2.199303004177817,1.5204565237062058,2.6611262310625383,273.87917997548357,262.86654696275946,287.7301029593218,-1.0,large,1.0,large
barabasi_albert,50,5,greedy_k_center,random,5,5,1.3876134245513985,0.7255764835436337,1.849223670678339,0.4382399842143059,0.4308189867879264,0.4462799645261839,-1.0,large,1.0,large
barabasi_albert,50,5,kmeans,random,5,5,0.13327845537203853,-0.5690508651525984,0.6372452050055797,22.97689998522401,21.710358991404064,24.483029961993452,-0.44,medium,1.0,large
barabasi_albert,100,3,bandit_rl,random,5,5,1.8581657029511218,1.2742885094072955,2.489138680806355,12267.830660007894,11682.302838484175,13023.190960020584,-1.0,large,1.0,large
barabasi_albert,100,3,genetic,random,5,5,2.05406054995513,1.47807326367667,2.6850779662219146,380.09239999810234,352.167454008013,410.7921819994226,-1.0,large,1.0,large
barabasi_albert,100,3,greedy_k_center,random,5,5,1.7561780723806795,1.1802981128927463,2.3871510502359126,0.5726400064304471,0.5076200002804399,0.6535230166628025,-1.0,large,1.0,large
barabasi_albert,100,3,kmeans,random,5,5,-0.7649256310535897,-1.4222393015904808,-0.0918212362150221,22.147240035701543,20.32193753751926,25.249367059150245,0.52,large,1.0,large
barabasi_albert,100,5,bandit_rl,random,5,5,2.0611125448182115,1.4300593439656186,2.824628611295319,11258.809759980068,10947.148589976423,11676.553548489755,-1.0,large,1.0,large
barabasi_albert,100,5,genetic,random,5,5,2.650039490338262,2.0269780362410277,3.4246213564392693,479.352039960213,455.8583314632415,509.7064514507656,-1.0,large,1.0,large
barabasi_albert,100,5,greedy_k_center,random,5,5,1.6869316588553431,1.0558784580027503,2.4504477253324506,1.0251799947582185,0.9345349800423719,1.1424409685423595,-1.0,large,1.0,large
barabasi_albert,100,5,kmeans,random,5,5,0.6775849539716567,-0.013213297696811566,1.527082095487728,24.95575996581465,23.315018452121876,26.596519979066215,-0.36,medium,1.0,large
waxman,20,3,bandit_rl,random,5,5,1.079409888376477,0.370302430273041,1.8246776599637793,174.9838199815713,155.696377963759,196.91461547306957,-1.0,large,1.0,large
waxman,20,3,genetic,random,5,5,1.162937207729951,0.4491165283217269,1.8767578871381758,109.79025996057317,104.36549495818326,114.53400795784546,-1.0,large,1.0,large
waxman,20,3,greedy_k_center,random,5,5,0.03694027404370104,-0.676880405364523,0.750760953451926,0.07293998496606946,0.058419502165634185,0.09495997801423073,0.2,small,1.0,large
waxman,20,3,kmeans,random,5,5,0.2405402951157578,-0.4732803842924662,0.9543609745239827,19.917319994419813,18.335618987621274,21.499383003392722,0.2,small,1.0,large
waxman,20,5,bandit_rl,random,5,5,0.929861036844124,0.8324705906927384,1.0668427095993267,170.0851000030525,166.4902744878782,173.74035050714156,-1.0,large,1.0,large
waxman,20,5,genetic,random,5,5,1.0712135460638148,0.9785485918878156,1.2080928920042466,126.82754002744332,119.71541651699226,136.74743054318242,-1.0,large,1.0,large
waxman,20,5,greedy_k_center,random,5,5,0.5642454327846638,0.473241963297129,0.6994632940366312,0.4472200176678598,0.09471953439060599,1.0380495112622157,-1.0,large,0.84,large
waxman,20,5,kmeans,random,5,5,-0.08756859286289176,-0.17857206235042655,0.04764926838907568,23.666420008521527,22.629907509544864,25.018432017823212,0.6,large,1.0,large
waxman,50,3,bandit_rl,random,5,5,3.494316811632757,2.1432318059772704,4.710767138879545,1011.0955399693921,965.7685044634854,1055.458420990326,-1.0,large,1.0,large
waxman,50,3,genetic,random,5,5,4.573053800120923,3.229004009923975,5.618157489988881,209.21329997945577,188.50321750185685,239.2206809934578,-1.0,large,1.0,large
waxman,50,3,greedy_k_center,random,5,5,-0.34778412312816087,-1.6461613166862712,0.688800298362219,0.16383999027311802,0.15573898708680645,0.17155999143142253,-0.2,small,1.0,large
waxman,50,3,kmeans,random,5,5,-2.7195866654153846,-4.017963858973495,-1.6830022439250047,20.108979975339025,18.1773174929549,22.276136980508454,1.0,large,1.0,large
waxman,50,5,bandit_rl,random,5,5,3.9344334708521824,1.6111817469465415,7.181868444384404,1007.7892000088468,983.5741355252685,1030.894072537194,-1.0,large,1.0,large
waxman,50,5,genetic,random,5,5,4.654882430352894,2.3610725174313467,7.896310211259376,264.94911999907345,253.6825929733459,277.9411035316298,-1.0,large,1.0,large
