topology_model,node_count,controller_budget,algorithm,baseline_algorithm,trials_algorithm,trials_baseline,latency_gain_vs_baseline_mean,latency_gain_ci95_low,latency_gain_ci95_high,runtime_penalty_vs_baseline_mean,runtime_penalty_ci95_low,runtime_penalty_ci95_high,latency_cliffs_delta_alg_vs_baseline,latency_cliffs_magnitude,runtime_cliffs_delta_alg_vs_baseline,runtime_cliffs_magnitude
waxman,50,5,greedy_k_center,random,5,5,2.312013029703259,0.029666457980177086,5.563695887449754,0.3245599800720811,0.3149799653328955,0.3347204756573774,-0.6,large,1.0,large
waxman,50,5,kmeans,random,5,5,1.2044482991897336,-2.002629175384952,4.729073061970205,23.229900002479553,20.12669801712036,28.5960650150082,-0.2,small,1.0,large
waxman,100,3,bandit_rl,random,5,5,2.0541277020396898,1.5933997288229556,2.577750644421645,12128.7347599864,11465.798903997347,12951.64103646879,-1.0,large,1.0,large
waxman,100,3,genetic,random,5,5,2.0622445018611835,1.594471833395307,2.5739601490601616,352.8441199683584,327.59861697326414,383.41755997389555,-1.0,large,1.0,large
waxman,100,3,greedy_k_center,random,5,5,0.40009072574082793,-0.060637247475906264,0.9237136681227831,0.7796799764037132,0.5729754627100192,0.9875689761247486,-0.6,large,1.0,large
waxman,100,3,kmeans,random,5,5,0.11987601585976293,-0.34085195735697127,0.6434989582417181,20.47083997167647,19.053591971751302,21.91413097199984,-0.2,small,1.0,large
waxman,100,5,bandit_rl,random,5,5,0.9929057336194012,0.7333796528251566,1.291828804844745,13021.812040021177,12392.912032521563,13753.773491036554,-1.0,large,1.0,large
waxman,100,5,genetic,random,5,5,1.4880511255121904,1.240503060249131,1.789587587642883,505.2689000032842,472.3516174967517,538.2449480262585,-1.0,large,1.0,large
waxman,100,5,greedy_k_center,random,5,5,-0.798181612160934,-1.0330145216337572,-0.5070652333198202,1.0088200215250254,0.9445780099486001,1.074120505945757,1.0,large,1.0,large
waxman,100,5,kmeans,random,5,5,0.5248954279315257,0.29006251845870246,0.8160118067726394,23.016760020982474,21.11822301638313,24.89984852843918,-1.0,large,1.0,large
