topology_model,node_count,controller_budget,algorithm,avg_latency_mean,avg_latency_std,runtime_ms_mean,runtime_ms_std,iterations_budget_mean,iterations_to_converge_mean,latency_runtime_product,latency_gain_vs_random_pct,efficiency_score,efficiency_rank,is_pareto_optimal
barabasi_albert,20,3,genetic,4.922756575660547,0.0,65.80546000041068,4.300312196153217,50.0,12.4,323.9442609313888,22.882419730526188,0.10446255227409958,1,True
barabasi_albert,20,3,bandit_rl,5.239698001755167,0.06330917858050321,314.87315999984276,11.15437520765243,300.0,48.8,1649.8402672575112,17.917364990988574,0.6084905966678429,5,False
barabasi_albert,20,3,greedy_k_center,5.299499689384737,0.0,0.0874800025485456,0.006596738103413895,1.0,1.0,0.46360024633339336,16.980539987529102,0.12905867257511847,2,True
barabasi_albert,20,3,kmeans,6.309439064863604,0.0,16.794880005181767,2.2113496621614708,1.0,1.0,105.96627199439048,1.1593065670358131,0.5012984034240795,4,False
barabasi_albert,20,3,random,6.383442735701562,1.0157329316849968,0.025980002828873694,0.004365430934965231,1.0,1.0,0.16584186033147982,0.0,0.5,3,True
barabasi_albert,20,5,genetic,3.268581128742119,0.05072726469814479,94.80526000261307,10.868859026498189,50.0,36.2,309.8786837500311,34.448206976276616,0.14691897829940015,1,True
barabasi_albert,20,5,bandit_rl,3.4908418718176,0.10873825683265542,322.5836599973263,11.634464201918638,300.0,25.4,1126.088547482839,29.990740677133587,0.5646980886728408,5,False
barabasi_albert,20,5,greedy_k_center,4.514205625643053,0.0,0.17697999719530344,0.006468152405532334,1.0,1.0,0.7989240989653306,9.467055831482197,0.36282497124594926,2,True
barabasi_albert,20,5,kmeans,4.590965127571851,0.1177254790342463,18.393379996996373,1.2680956767243228,1.0,1.0,84.44336614438798,7.9276346622187575,0.41340634633694157,3,False
barabasi_albert,20,5,random,4.986257397351755,0.4591347767061548,0.025400001322850585,0.000796869918412931,1.0,1.0,0.1266509444888081,0.0,0.5,4,True
barabasi_albert,50,3,genetic,4.783888234695271,0.0,153.49136000440922,10.356325616563414,50.0,25.4,734.2855112524696,30.05125902101664,0.03665102886427386,1,True
barabasi_albert,50,3,bandit_rl,5.015122732709166,0.0,2093.6278399982257,34.44710325219723,300.0,42.4,10499.80057420789,26.670209712700295,0.556254703104981,5,False
barabasi_albert,50,3,greedy_k_center,5.247703432221373,0.0,0.21826000011060387,0.010886825844739746,1.0,1.0,1.1453637516970532,23.269476604242456,0.1128828164944765,2,True
barabasi_albert,50,3,kmeans,6.168923684225659,0.09657782611565259,18.375739999464713,0.8380645330604278,1.0,1.0,113.35853769787066,9.799639176874923,0.3413335990935564,3,False
