topology,seed,episodes,learning_rate,batch_size,gamma,rolling_mean_reward_last100,reward_variance_last200,final_best_reward,final_epsilon,normalized_action_entropy,final_latency,final_reliability,final_omega_ms_per_episode,divergence_flag,divergence_reason
Internet2,42,1000,0.001,32,0.99,12.546923602999302,1.234988083731281,15.075409619726674,0.05,0.9266592820780492,7.153330423102838,1.0,19.874659374996554,False,stable
Internet2,123,1000,0.001,32,0.99,12.337630106344093,0.6585965600212219,14.957211772198827,0.05,0.9061531620000657,6.908657222950762,0.9494949494949494,20.162705545022618,False,stable
Internet2,256,1000,0.001,32,0.99,12.437523746275431,0.7506172879040204,15.163655375509421,0.05,0.9295927291414064,5.07986968009006,1.0,20.193920638004784,False,stable
Internet2,512,1000,0.001,32,0.99,12.018855856114028,0.9636721818004532,14.87040152170217,0.05,0.896873166644882,5.56375435906391,1.0,20.22950800997205,False,stable
Internet2,1024,1000,0.001,32,0.99,13.290955499073567,1.271708215863721,14.453880614572975,0.05,0.9448012243177997,8.191254980524226,0.9494949494949494,19.536888893984724,False,stable
ATT-MPLS,42,1000,0.001,32,0.99,12.182639746745998,0.7767637302330751,14.77114568146989,0.05,0.9736854701162097,5.21509122523366,1.0,21.704124545038212,False,stable
ATT-MPLS,123,1000,0.001,32,0.99,12.36930826689943,0.5716255171348538,14.521273175512102,0.05,0.9814939531671362,4.467101497452823,1.0,21.4813234989997,False,stable
ATT-MPLS,256,1000,0.001,32,0.99,12.769464801939,0.6107642960164226,15.07721275144554,0.05,0.9677866141688334,7.098109327598907,1.0,22.72616867296165,False,stable
ATT-MPLS,512,1000,0.001,32,0.99,12.949864333872732,0.41166211755589893,15.199700666105526,0.05,0.9697208258189229,5.713296762048393,0.9991181657848324,22.49188455194235,False,stable
ATT-MPLS,1024,1000,0.001,32,0.99,12.19477153113386,0.35663444140733014,14.398252184600572,0.05,0.9736812678938469,6.757854677406369,1.0,16.17722088197479,False,stable
