topology,runs,mean_best_reward,std_best_reward,mean_entropy,mean_rolling_reward_last100,mean_latency,mean_reliability,divergence_runs
ATT-MPLS,5,14.793516891826727,0.34507966477193114,0.9732736262329897,12.493209736118205,5.850290697948031,0.9998236331569664,0
Internet2,5,14.904111780742014,0.2753951347032034,0.9208159128364406,12.526377762161285,6.579373333146359,0.9797979797979798,0
